workflow,algorithm,propagation_model,budget,seeds,coverage,expected_propagation_time,full_activation_probability,broadcast_cost,optimized_cost,estimated_savings
planner_coder_tester_reviewer,random,independent-cascade,2,"['tester', 'planner']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,degree,independent-cascade,2,"['coder', 'reviewer']",0.8,1.0,0.0,7700,4605.0,0.40194805194805194
planner_coder_tester_reviewer,pagerank,independent-cascade,2,"['coder', 'planner']",1.0,2.3,1.0,7700,6140.0,0.2025974025974026
planner_coder_tester_reviewer,betweenness,independent-cascade,2,"['reviewer', 'tester']",0.8,1.0,0.0,7700,4117.5,0.46525974025974026
planner_coder_tester_reviewer,greedy,independent-cascade,2,"['planner', 'tester']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,celf,independent-cascade,2,"['planner', 'reviewer']",1.0,2.0,1.0,7700,5750.0,0.2532467532467532
planner_coder_tester_reviewer,cost-aware-greedy,independent-cascade,2,"['tester', 'planner']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,random,linear-threshold,2,"['tester', 'planner']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,degree,linear-threshold,2,"['coder', 'reviewer']",0.8,1.0,0.0,7700,4605.0,0.40194805194805194
planner_coder_tester_reviewer,pagerank,linear-threshold,2,"['coder', 'planner']",1.0,3.0,1.0,7700,6140.0,0.2025974025974026
planner_coder_tester_reviewer,betweenness,linear-threshold,2,"['reviewer', 'tester']",0.6,1.0,0.0,7700,2772.5,0.6399350649350649
planner_coder_tester_reviewer,greedy,linear-threshold,2,"['planner', 'tester']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,celf,linear-threshold,2,"['planner', 'reviewer']",1.0,2.0,1.0,7700,5750.0,0.2532467532467532
planner_coder_tester_reviewer,cost-aware-greedy,linear-threshold,2,"['planner', 'tester']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,random,bootstrap-percolation,2,"['tester', 'planner']",0.8,1.0,0.0,7700,5280.0,0.3142857142857143
planner_coder_tester_reviewer,degree,bootstrap-percolation,2,"['coder', 'reviewer']",0.4,0.0,0.0,7700,2800.0,0.6363636363636364
planner_coder_tester_reviewer,pagerank,bootstrap-percolation,2,"['coder', 'planner']",0.4,0.0,0.0,7700,3550.0,0.538961038961039
planner_coder_tester_reviewer,betweenness,bootstrap-percolation,2,"['reviewer', 'tester']",0.4,0.0,0.0,7700,2400.0,0.6883116883116883
planner_coder_tester_reviewer,greedy,bootstrap-percolation,2,"['planner', 'tester']",0.8,1.0,0.0,7700,5280.0,0.3142857142857143
planner_coder_tester_reviewer,celf,bootstrap-percolation,2,"['coder', 'planner']",0.4,0.0,0.0,7700,3550.0,0.538961038961039
planner_coder_tester_reviewer,cost-aware-greedy,bootstrap-percolation,2,"['tester', 'planner']",0.8,1.0,0.0,7700,5280.0,0.3142857142857143
planner_coder_tester_reviewer,random,randomized-zero-forcing,2,"['tester', 'planner']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,degree,randomized-zero-forcing,2,"['coder', 'reviewer']",0.8,1.0,0.0,7700,4605.0,0.40194805194805194
planner_coder_tester_reviewer,pagerank,randomized-zero-forcing,2,"['coder', 'planner']",1.0,2.65,1.0,7700,6140.0,0.2025974025974026
planner_coder_tester_reviewer,betweenness,randomized-zero-forcing,2,"['reviewer', 'tester']",0.8,1.05,0.0,7700,4117.5,0.46525974025974026
planner_coder_tester_reviewer,greedy,randomized-zero-forcing,2,"['planner', 'tester']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,celf,randomized-zero-forcing,2,"['planner', 'tester']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,cost-aware-greedy,randomized-zero-forcing,2,"['tester', 'planner']",1.0,2.0,1.0,7700,5652.5,0.26590909090909093
planner_coder_tester_reviewer,random,zero-forcing,2,"['tester', 'planner']",0.4,0.0,0.0,7700,2150.0,0.7207792207792207
planner_coder_tester_reviewer,degree,zero-forcing,2,"['coder', 'reviewer']",0.8,1.0,0.0,7700,4605.0,0.40194805194805194
planner_coder_tester_reviewer,pagerank,zero-forcing,2,"['coder', 'planner']",1.0,2.0,1.0,7700,6140.0,0.2025974025974026
planner_coder_tester_reviewer,betweenness,zero-forcing,2,"['reviewer', 'tester']",0.8,1.0,0.0,7700,4117.5,0.46525974025974026
planner_coder_tester_reviewer,greedy,zero-forcing,2,"['coder', 'planner']",1.0,2.0,1.0,7700,6140.0,0.2025974025974026
planner_coder_tester_reviewer,celf,zero-forcing,2,"['coder', 'planner']",1.0,2.0,1.0,7700,6140.0,0.2025974025974026
planner_coder_tester_reviewer,cost-aware-greedy,zero-forcing,2,"['reviewer', 'tester']",0.8,1.0,0.0,7700,4117.5,0.46525974025974026
research_writer_verifier,random,independent-cascade,2,"['researcher_b', 'researcher_a']",0.8333333333333334,3.0,0.0,8700,5245.0,0.3971264367816092
research_writer_verifier,degree,independent-cascade,2,"['writer', 'planner']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,pagerank,independent-cascade,2,"['planner', 'writer']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,betweenness,independent-cascade,2,"['writer', 'verifier']",0.5,1.0,0.0,8700,3205.0,0.6316091954022989
research_writer_verifier,greedy,independent-cascade,2,"['planner', 'writer']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,celf,independent-cascade,2,"['planner', 'verifier']",1.0,2.0,1.0,8700,5840.0,0.32873563218390806
research_writer_verifier,cost-aware-greedy,independent-cascade,2,"['planner', 'verifier']",1.0,2.0,1.0,8700,5840.0,0.32873563218390806
research_writer_verifier,random,linear-threshold,2,"['researcher_b', 'researcher_a']",0.8333333333333334,3.0,0.0,8700,5245.0,0.3971264367816092
research_writer_verifier,degree,linear-threshold,2,"['writer', 'planner']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,pagerank,linear-threshold,2,"['planner', 'writer']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,betweenness,linear-threshold,2,"['writer', 'verifier']",0.5,1.0,0.0,8700,3205.0,0.6316091954022989
research_writer_verifier,greedy,linear-threshold,2,"['planner', 'writer']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,celf,linear-threshold,2,"['planner', 'verifier']",1.0,2.0,1.0,8700,5840.0,0.32873563218390806
research_writer_verifier,cost-aware-greedy,linear-threshold,2,"['planner', 'verifier']",1.0,2.0,1.0,8700,5840.0,0.32873563218390806
research_writer_verifier,random,bootstrap-percolation,2,"['researcher_b', 'researcher_a']",0.5,1.0,0.0,8700,4125.0,0.5258620689655172
research_writer_verifier,degree,bootstrap-percolation,2,"['writer', 'planner']",0.3333333333333333,0.0,0.0,8700,2400.0,0.7241379310344828
research_writer_verifier,pagerank,bootstrap-percolation,2,"['planner', 'writer']",0.3333333333333333,0.0,0.0,8700,2400.0,0.7241379310344828
research_writer_verifier,betweenness,bootstrap-percolation,2,"['writer', 'verifier']",0.3333333333333333,0.0,0.0,8700,2850.0,0.6724137931034483
research_writer_verifier,greedy,bootstrap-percolation,2,"['planner', 'researcher_a']",0.3333333333333333,0.0,0.0,8700,2600.0,0.7011494252873564
research_writer_verifier,celf,bootstrap-percolation,2,"['planner', 'researcher_a']",0.3333333333333333,0.0,0.0,8700,2600.0,0.7011494252873564
research_writer_verifier,cost-aware-greedy,bootstrap-percolation,2,"['planner', 'verifier']",0.3333333333333333,0.0,0.0,8700,1800.0,0.7931034482758621
research_writer_verifier,random,randomized-zero-forcing,2,"['researcher_b', 'researcher_a']",0.8333333333333334,3.0,0.0,8700,5245.0,0.3971264367816092
research_writer_verifier,degree,randomized-zero-forcing,2,"['writer', 'planner']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,pagerank,randomized-zero-forcing,2,"['planner', 'writer']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,betweenness,randomized-zero-forcing,2,"['writer', 'verifier']",0.5,1.0,0.0,8700,3205.0,0.6316091954022989
research_writer_verifier,greedy,randomized-zero-forcing,2,"['planner', 'writer']",1.0,2.0,1.0,8700,6230.0,0.28390804597701147
research_writer_verifier,celf,randomized-zero-forcing,2,"['planner', 'verifier']",1.0,2.0,1.0,8700,5840.0,0.32873563218390806
research_writer_verifier,cost-aware-greedy,randomized-zero-forcing,2,"['planner', 'verifier']",1.0,2.0,1.0,8700,5840.0,0.32873563218390806
research_writer_verifier,random,zero-forcing,2,"['researcher_b', 'researcher_a']",0.8333333333333334,3.0,0.0,8700,5245.0,0.3971264367816092
research_writer_verifier,degree,zero-forcing,2,"['writer', 'planner']",0.6666666666666666,2.0,0.0,8700,3520.0,0.5954022988505747
research_writer_verifier,pagerank,zero-forcing,2,"['planner', 'writer']",0.6666666666666666,2.0,0.0,8700,3520.0,0.5954022988505747
research_writer_verifier,betweenness,zero-forcing,2,"['writer', 'verifier']",0.5,1.0,0.0,8700,3205.0,0.6316091954022989
research_writer_verifier,greedy,zero-forcing,2,"['researcher_a', 'planner']",1.0,3.0,1.0,8700,6100.0,0.2988505747126437
research_writer_verifier,celf,zero-forcing,2,"['researcher_a', 'researcher_b']",0.8333333333333334,3.0,0.0,8700,5245.0,0.3971264367816092
